customer.id;order.date;order.id;order.line;product.id;quantity;bikes.category;bikes.material;bikes.model;bikes.price;bikes.subcategory
1;40630;70;1;74;1;Mountain;Aluminum;Fat CAAD1;3730; Fat Bike
1;40630;70;2;72;1;Mountain;Aluminum;F-Si 2;2060; Cross Country Race
1;40630;70;3;27;1;Road;Carbon;Synapse Carbon Disc Ultegra;3730; Endurance Road
1;40630;70;4;59;7;Mountain;Carbon;Scalpel-Si Carbon 3;5330; Cross Country Race
1;40630;70;5;91;1;Mountain;Aluminum;Trail 3;1080; Sport
1;40630;70;6;93;1;Mountain;Aluminum;Trail 5;815; Sport
1;40630;70;7;60;1;Mountain;Carbon;Scalpel-Si Carbon 4;4260; Cross Country Race
1;40630;70;8;62;1;Mountain;Carbon;Scalpel 29 Carbon Race;6390; Cross Country Race
1;40630;70;9;83;1;Mountain;Carbon;Habit Carbon 2;5330; Trail
1;40634;72;1;4;1;Road;Carbon;Supersix Evo Hi-Mod Dura Ace 2;5330; Elite Road
1;40634;72;2;39;1;Road;Carbon;Slice Hi-Mod Dura Ace D12;4500; Triathalon
1;40688;143;1;88;1;Mountain;Aluminum;Habit 6;1950; Trail
1;40723;179;1;27;1;Road;Carbon;Synapse Carbon Disc Ultegra;3730; Endurance Road
1;40723;179;2;38;1;Road;Carbon;Slice Hi-Mod Black Inc.;7000; Triathalon
1;40723;179;3;12;4;Road;Aluminum;CAAD12 Disc Dura Ace;4260; Elite Road
1;40772;227;1;12;3;Road;Aluminum;CAAD12 Disc Dura Ace;4260; Elite Road
1;40940;342;1;57;1;Mountain;Carbon;Scalpel-Si Hi-Mod 1;7460; Cross Country Race
1;40940;342;2;9;1;Road;Carbon;Supersix Evo 105;2240; Elite Road
1;40940;342;3;49;2;Mountain;Carbon;Jekyll Carbon 3;3840; Over Mountain
1;41011;421;1;40;1;Road;Carbon;Slice Ultegra D12;3200; Triathalon
1;41011;421;2;59;1;Mountain;Carbon;Scalpel-Si Carbon 3;5330; Cross Country Race
1;41011;421;3;94;1;Mountain;Aluminum;Catalyst 1;705; Sport
1;41011;421;4;60;2;Mountain;Carbon;Scalpel-Si Carbon 4;4260; Cross Country Race
1;41011;421;5;93;1;Mountain;Aluminum;Trail 5;815; Sport
1;41011;421;6;12;1;Road;Aluminum;CAAD12 Disc Dura Ace;4260; Elite Road
1;41011;421;7;2;1;Road;Carbon;Supersix Evo Hi-Mod Team;10660; Elite Road
1;41011;421;8;25;1;Road;Carbon;Synapse Hi-Mod Disc Ultegra;5330; Endurance Road
1;41011;421;9;62;1;Mountain;Carbon;Scalpel 29 Carbon Race;6390; Cross Country Race
1;41011;421;10;83;1;Mountain;Carbon;Habit Carbon 2;5330; Trail
1;41011;421;11;63;1;Mountain;Carbon;Scalpel 29 Carbon 2;5330; Cross Country Race
1;41011;421;12;54;1;Mountain;Carbon;Trigger Carbon 4;3200; Over Mountain
1;41011;421;13;48;1;Mountain;Carbon;Jekyll Carbon 2;6070; Over Mountain
1;41011;421;14;86;1;Mountain;Aluminum;Habit 4;2880; Trail
1;41011;421;15;90;1;Mountain;Aluminum;Trail 2;1350; Sport
1;41011;421;16;55;1;Mountain;Carbon;Scalpel-Si Black Inc.;12790; Cross Country Race
1;41011;421;17;56;1;Mountain;Carbon;Scalpel-Si Race;9060; Cross Country Race
1;41011;421;18;7;1;Road;Carbon;Supersix Evo Ultegra 3;3200; Elite Road
1;41011;421;19;79;1;Mountain;Aluminum;Bad Habit 1;3200; Trail
1;41011;421;20;77;1;Mountain;Aluminum;Beast of the East 2;2130; Trail
1;41103;525;1;25;1;Road;Carbon;Synapse Hi-Mod Disc Ultegra;5330; Endurance Road
1;41221;629;1;62;2;Mountain;Carbon;Scalpel 29 Carbon Race;6390; Cross Country Race
1;41221;629;2;67;1;Mountain;Carbon;F-Si Hi-Mod Team;9060; Cross Country Race
1;41298;686;1;62;1;Mountain;Carbon;Scalpel 29 Carbon Race;6390; Cross Country Race
1;41298;686;2;60;1;Mountain;Carbon;Scalpel-Si Carbon 4;4260; Cross Country Race
1;41298;686;3;58;1;Mountain;Carbon;Scalpel-Si Carbon 2;6390; Cross Country Race
1;41298;686;4;48;1;Mountain;Carbon;Jekyll Carbon 2;6070; Over Mountain
1;41298;686;5;73;1;Mountain;Aluminum;F-Si 3;1840; Cross Country Race
1;41298;686;6;7;3;Road;Carbon;Supersix Evo Ultegra 3;3200; Elite Road
1;41298;686;7;5;1;Road;Carbon;Supersix Evo Hi-Mod Utegra;4260; Elite Road
1;41298;686;8;92;1;Mountain;Aluminum;Trail 4;980; Sport
1;41298;686;9;82;1;Mountain;Carbon;Habit Carbon 1;7460; Trail
1;41298;686;10;56;1;Mountain;Carbon;Scalpel-Si Race;9060; Cross Country Race
1;41376;778;1;44;1;Road;Carbon;SuperX Ultegra;2450; Cyclocross
1;41376;778;2;59;1;Mountain;Carbon;Scalpel-Si Carbon 3;5330; Cross Country Race
1;41401;817;1;80;1;Mountain;Aluminum;Bad Habit 2;2660; Trail
1;41401;817;2;51;1;Mountain;Carbon;Trigger Carbon 1;8200; Over Mountain
1;41401;817;3;87;1;Mountain;Aluminum;Habit 5;2340; Trail
1;41401;817;4;82;1;Mountain;Carbon;Habit Carbon 1;7460; Trail
1;41401;817;5;74;1;Mountain;Aluminum;Fat CAAD1;3730; Fat Bike
1;41401;817;6;26;1;Road;Carbon;Synapse Carbon Disc Ultegra D12;4800; Endurance Road
1;41401;817;7;93;1;Mountain;Aluminum;Trail 5;815; Sport
1;41401;817;8;43;1;Road;Carbon;SuperX Hi-Mod CX1;3500; Cyclocross
1;41401;817;9;90;1;Mountain;Aluminum;Trail 2;1350; Sport
1;41401;817;10;58;1;Mountain;Carbon;Scalpel-Si Carbon 2;6390; Cross Country Race
1;41401;817;11;13;1;Road;Aluminum;CAAD12 Red;3200; Elite Road
1;41401;817;12;75;2;Mountain;Aluminum;Fat CAAD2;2130; Fat Bike
1;41401;817;13;62;1;Mountain;Carbon;Scalpel 29 Carbon Race;6390; Cross Country Race
1;41401;817;14;5;1;Road;Carbon;Supersix Evo Hi-Mod Utegra;4260; Elite Road
1;41415;847;1;1;1;Road;Carbon;Supersix Evo Black Inc.;12790; Elite Road
1;41415;847;2;90;1;Mountain;Aluminum;Trail 2;1350; Sport
1;41415;847;3;23;1;Road;Carbon;Synapse Hi-Mod Disc Red;7460; Endurance Road
1;41415;847;4;84;1;Mountain;Carbon;Habit Carbon SE;4480; Trail
1;41415;847;5;62;1;Mountain;Carbon;Scalpel 29 Carbon Race;6390; Cross Country Race
1;41415;847;6;54;1;Mountain;Carbon;Trigger Carbon 4;3200; Over Mountain
1;41415;847;7;48;1;Mountain;Carbon;Jekyll Carbon 2;6070; Over Mountain
1;41415;847;8;68;2;Mountain;Carbon;F-Si Hi-Mod 1;6390; Cross Country Race
1;41415;847;9;57;1;Mountain;Carbon;Scalpel-Si Hi-Mod 1;7460; Cross Country Race
1;41415;847;10;66;1;Mountain;Carbon;F-Si Black Inc.;11190; Cross Country Race
1;41445;893;1;58;1;Mountain;Carbon;Scalpel-Si Carbon 2;6390; Cross Country Race
1;41498;968;1;60;1;Mountain;Carbon;Scalpel-Si Carbon 4;4260; Cross Country Race
1;41498;968;2;84;1;Mountain;Carbon;Habit Carbon SE;4480; Trail
1;41498;968;3;94;1;Mountain;Aluminum;Catalyst 1;705; Sport
